Participant: sjl
02 14 20 10:33:27
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Tumor 1.jpg	KKK rally 1.jpg	Fire hydrant 2.jpg	Feces 1.jpg	1	2	1	30	7.107447e-02
Feces 2.jpg	Plane crash 3.jpg	Severed finger 1.jpg	Alcohol 5.jpg	1	2	1	30	2.637013e+00
Severed finger 1.jpg	Bar 2.jpg	Bored pose 1.jpg	Fire hydrant 2.jpg	1	2	1	30	4.970910e-02
Street 4.jpg	Plane crash 3.jpg	Fence 2.jpg	Feces 1.jpg	1	3	7	36	1.227243e+00
Dirt 5.jpg	Cotton swabs 2.jpg	Nature 1.jpg	Bored pose 1.jpg	1	2	3	32	5.444177e-01
Fence 4.jpg	Dog 13.jpg	Nature 1.jpg	Lake 9.jpg	1	1	4	33	1.078663e+00
Beach 2.jpg	Feces 1.jpg	Fence 4.jpg	Lake 15.jpg	1	4	8	37	1.293915e+00
Alcohol 5.jpg	Sunset 3.jpg	Injury 4.jpg	Cotton swabs 2.jpg	1	1	7	36	3.075819e-02
Feces 1.jpg	Lake 12.jpg	Sunset 3.jpg	Fire hydrant 2.jpg	1	3	1	30	2.172269e-01
Lake 15.jpg	Bar 2.jpg	Tumor 1.jpg	Feces 1.jpg	1	2	8	37	2.338323e-01
Cat 10.jpg	Injury 4.jpg	Nature 1.jpg	Sunset 3.jpg	1	5	3	32	1.707698e-01
Lake 14.jpg	Fence 4.jpg	Lake 12.jpg	Sunset 4.jpg	1	1	8	37	1.324272e+00
Plane crash 3.jpg	Lake 12.jpg	Spider 2.jpg	Gazing 7.jpg	1	2	4	33	7.768527e-02
Heart 1.jpg	Bar 2.jpg	Tumor 1.jpg	Alcohol 5.jpg	1	2	4	33	1.384677e-01
Injury 1.jpg	Fence 2.jpg	Plane crash 3.jpg	KKK rally 1.jpg	1	1	1	30	8.385937e-02
Lake 14.jpg	Lake 9.jpg	Dog 13.jpg	Goat 2.jpg	1	5	8	37	1.505593e-01
Wedding 12.jpg	Injury 1.jpg	Fence 4.jpg	Lake 15.jpg	1	5	3	32	1.459453e-01
Severed finger 1.jpg	Heart 1.jpg	Feces 1.jpg	Beach 2.jpg	1	5	2	31	5.673518e-02
Fence 2.jpg	Dead bodies 1.jpg	Office supplies 1.jpg	Dirt 5.jpg	1	5	1	30	6.473809e-02
Cliff diver 1.jpg	Nature 1.jpg	Bored pose 1.jpg	Wedding 12.jpg	1	3	6	35	2.187566e+00
Bored pose 1.jpg	Goat 2.jpg	Lake 9.jpg	KKK rally 1.jpg	1	2	5	34	2.020658e+00
Lake 9.jpg	Beach 2.jpg	Sunset 4.jpg	Heart 1.jpg	1	3	8	37	1.917004e+00
Spider 2.jpg	Injury 4.jpg	Injury 1.jpg	Lake 9.jpg	1	4	2	31	1.697724e+00
Nature 1.jpg	Bored pose 1.jpg	Wedding 12.jpg	Dead bodies 1.jpg	1	1	8	37	1.397918e+00
Lake 12.jpg	Fence 4.jpg	Dirt 5.jpg	Dog 19.jpg	1	4	8	37	4.327693e-01
Sunset 4.jpg	Bar 2.jpg	Plane crash 3.jpg	Cotton swabs 2.jpg	1	5	5	34	1.523402e-01
Office supplies 1.jpg	Dog 13.jpg	Fire hydrant 2.jpg	Nature 1.jpg	1	4	4	33	1.170223e-01
Wedding 12.jpg	Street 4.jpg	Bored pose 1.jpg	Gazing 7.jpg	1	1	7	36	3.806509e-01
Fire hydrant 2.jpg	Lake 9.jpg	Tumor 1.jpg	Plane crash 3.jpg	1	3	5	34	1.474455e+00
Fence 2.jpg	Lake 14.jpg	Fence 4.jpg	Goat 2.jpg	1	1	4	33	2.042770e-01
Street 4.jpg	Feces 2.jpg	Dog 19.jpg	Lake 12.jpg	1	5	5	34	3.375904e-01
Bar 2.jpg	Gazing 7.jpg	Spider 2.jpg	KKK rally 1.jpg	1	2	7	36	3.733355e-02
Cat 10.jpg	KKK rally 1.jpg	Plane crash 3.jpg	Feces 1.jpg	1	4	8	37	1.407627e+00
KKK rally 1.jpg	Fire hydrant 2.jpg	Plane crash 3.jpg	Bored pose 1.jpg	1	4	1	30	1.387425e+00
KKK rally 1.jpg	Bored pose 1.jpg	Cliff diver 1.jpg	Spider 2.jpg	1	5	2	31	1.767557e+00
Sunset 3.jpg	Gazing 7.jpg	Goat 2.jpg	Lake 14.jpg	1	3	9	38	1.468891e+00
Injury 4.jpg	Lake 14.jpg	Tumor 1.jpg	Dirt 5.jpg	1	4	1	30	1.949736e+00
Dog 13.jpg	Sunset 3.jpg	Alcohol 5.jpg	Street 4.jpg	1	3	3	32	3.059530e-01
Dead bodies 1.jpg	Cotton swabs 2.jpg	Goat 2.jpg	Fire hydrant 2.jpg	1	1	1	30	1.683030e+00
Dirt 5.jpg	Lake 14.jpg	Lake 15.jpg	Feces 2.jpg	2	2	4	33	9.783636e-01
