Participant: NW
12 13 18 15:59:11
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Street 4.jpg	Wedding 12.jpg	Spider 2.jpg	Heart 1.jpg	1	4	8	37	1.104746e-01
Severed finger 1.jpg	Injury 1.jpg	Dead bodies 1.jpg	Fence 2.jpg	1	1	1	30	4.580188e-01
Feces 2.jpg	Bar 2.jpg	Injury 4.jpg	Dog 19.jpg	1	1	1	30	9.603638e-02
Beach 2.jpg	Cat 10.jpg	Alcohol 5.jpg	Gazing 7.jpg	1	4	9	38	2.216475e+00
Cotton swabs 2.jpg	Feces 2.jpg	Street 4.jpg	Injury 4.jpg	1	5	1	30	7.640531e-01
Goat 2.jpg	Dog 13.jpg	Bored pose 1.jpg	Lake 14.jpg	1	1	7	36	7.321896e-01
Plane crash 3.jpg	Cliff diver 1.jpg	Nature 1.jpg	Severed finger 1.jpg	1	3	5	34	8.384857e-01
Dead bodies 1.jpg	Spider 2.jpg	Bar 2.jpg	Gazing 7.jpg	1	2	1	30	9.663292e-02
Office supplies 1.jpg	Alcohol 5.jpg	Dirt 5.jpg	KKK rally 1.jpg	1	3	5	34	5.955949e-01
Cotton swabs 2.jpg	Wedding 12.jpg	Office supplies 1.jpg	Tumor 1.jpg	1	4	3	32	1.278493e+00
Sunset 4.jpg	Beach 2.jpg	KKK rally 1.jpg	Sunset 3.jpg	1	2	9	38	6.030250e-01
Bar 2.jpg	Dirt 5.jpg	Sunset 4.jpg	Goat 2.jpg	1	3	6	35	6.638030e-01
KKK rally 1.jpg	Lake 12.jpg	Office supplies 1.jpg	Alcohol 5.jpg	1	5	2	31	1.086436e+00
Alcohol 5.jpg	Sunset 3.jpg	Injury 4.jpg	Spider 2.jpg	1	1	8	37	6.760360e-01
KKK rally 1.jpg	Spider 2.jpg	Fence 4.jpg	Tumor 1.jpg	1	3	1	30	2.229171e+00
Injury 1.jpg	Bored pose 1.jpg	Goat 2.jpg	Plane crash 3.jpg	1	5	2	31	1.436621e-01
Nature 1.jpg	Office supplies 1.jpg	Cotton swabs 2.jpg	Wedding 12.jpg	1	4	9	38	1.371815e-01
Sunset 3.jpg	Lake 9.jpg	Injury 4.jpg	Fire hydrant 2.jpg	1	3	9	38	1.918448e+00
Tumor 1.jpg	Sunset 3.jpg	Cat 10.jpg	Lake 15.jpg	1	2	1	30	6.369690e-02
Fence 2.jpg	Cotton swabs 2.jpg	Injury 4.jpg	Lake 15.jpg	1	4	8	37	2.577389e-01
