Participant: YC
11 28 18 15:30:10
image_duration: 0.20
precue_duration: 1.00
pause_duration: 0.50
nBlocks: 4
image_1	image_2	image_3	image_4	pre_or_post_cue	which_image_cued	pelasure	key_pressed	rt	
Dead bodies 1.jpg	Street 4.jpg	Sunset 3.jpg	Injury 1.jpg	2	3	2	31	5.783160e-01
Sunset 3.jpg	Plane crash 3.jpg	Bar 2.jpg	Wedding 12.jpg	2	1	5	34	5.842789e-01
Office supplies 1.jpg	Cotton swabs 2.jpg	Alcohol 5.jpg	Fire hydrant 2.jpg	2	2	5	34	1.163491e+00
Gazing 7.jpg	Plane crash 3.jpg	Sunset 3.jpg	Nature 1.jpg	2	1	4	33	4.760566e-01
Severed finger 1.jpg	Dog 19.jpg	Lake 15.jpg	Feces 2.jpg	2	2	1	30	2.927660e-01
Spider 2.jpg	Lake 9.jpg	Gazing 7.jpg	Injury 1.jpg	2	5	1	30	2.117673e-01
Cotton swabs 2.jpg	Plane crash 3.jpg	Severed finger 1.jpg	Feces 1.jpg	2	3	2	31	5.768224e-01
Injury 1.jpg	Fence 2.jpg	Dirt 5.jpg	Bored pose 1.jpg	2	2	1	30	5.759589e-02
Tumor 1.jpg	Injury 4.jpg	Nature 1.jpg	Cotton swabs 2.jpg	2	3	1	30	3.703994e-02
Fire hydrant 2.jpg	Sunset 3.jpg	Lake 15.jpg	Dog 13.jpg	2	5	4	33	3.521573e-01
Lake 9.jpg	Nature 1.jpg	Feces 2.jpg	Lake 14.jpg	2	4	4	33	8.502657e-01
KKK rally 1.jpg	Heart 1.jpg	Lake 9.jpg	Beach 2.jpg	2	4	4	33	2.922621e-01
Dirt 5.jpg	Injury 4.jpg	Dog 13.jpg	Injury 1.jpg	2	1	4	33	9.030971e-01
Cat 10.jpg	Feces 1.jpg	Dog 13.jpg	Dead bodies 1.jpg	2	1	5	34	5.550270e-01
Goat 2.jpg	Office supplies 1.jpg	Nature 1.jpg	Bored pose 1.jpg	2	3	5	34	6.065873e-01
Bar 2.jpg	Fence 4.jpg	Wedding 12.jpg	Tumor 1.jpg	2	2	4	33	8.983366e-01
Fire hydrant 2.jpg	Wedding 12.jpg	Lake 14.jpg	Dirt 5.jpg	2	3	4	33	4.082115e-01
Feces 2.jpg	Dead bodies 1.jpg	Cotton swabs 2.jpg	Beach 2.jpg	2	1	4	33	8.663199e-01
Bored pose 1.jpg	Bar 2.jpg	Office supplies 1.jpg	Sunset 4.jpg	2	4	4	33	1.126338e+00
Wedding 12.jpg	Lake 14.jpg	Bored pose 1.jpg	Fence 2.jpg	2	5	4	33	4.970834e-01
Fence 4.jpg	Cat 10.jpg	Fire hydrant 2.jpg	Nature 1.jpg	2	2	3	32	2.981644e-01
Alcohol 5.jpg	Bored pose 1.jpg	Cotton swabs 2.jpg	Severed finger 1.jpg	2	1	4	33	4.150266e-01
Dog 19.jpg	Lake 15.jpg	Lake 14.jpg	Lake 9.jpg	2	4	6	35	8.954994e-01
Injury 4.jpg	Feces 2.jpg	Dog 19.jpg	Gazing 7.jpg	2	4	1	30	2.475310e+00
Feces 1.jpg	Sunset 4.jpg	Lake 14.jpg	Tumor 1.jpg	2	4	4	33	2.633432e-01
Sunset 4.jpg	Lake 15.jpg	Dirt 5.jpg	Dog 13.jpg	2	4	6	35	3.778995e-01
Lake 12.jpg	Bar 2.jpg	Heart 1.jpg	Feces 2.jpg	2	5	4	33	5.696107e-01
Cotton swabs 2.jpg	Severed finger 1.jpg	Fence 4.jpg	Tumor 1.jpg	2	5	1	30	2.350092e-02
Spider 2.jpg	Street 4.jpg	Gazing 7.jpg	Feces 2.jpg	2	1	1	30	1.518628e+00
Dog 13.jpg	Nature 1.jpg	Feces 1.jpg	Plane crash 3.jpg	2	2	6	35	1.931864e-01
Lake 15.jpg	Heart 1.jpg	Lake 9.jpg	Cliff diver 1.jpg	2	3	7	36	2.300945e-01
Plane crash 3.jpg	Sunset 4.jpg	Dead bodies 1.jpg	KKK rally 1.jpg	2	5	2	31	2.056873e-01
Heart 1.jpg	Beach 2.jpg	Sunset 4.jpg	Wedding 12.jpg	2	3	4	33	3.017271e-01
Beach 2.jpg	Office supplies 1.jpg	Severed finger 1.jpg	Cotton swabs 2.jpg	2	1	2	31	2.996765e-02
Wedding 12.jpg	Cotton swabs 2.jpg	Bar 2.jpg	Bored pose 1.jpg	2	3	3	32	5.138187e-01
Nature 1.jpg	Feces 1.jpg	Lake 12.jpg	Cliff diver 1.jpg	2	2	6	35	1.730906e+00
Plane crash 3.jpg	Cliff diver 1.jpg	Fence 2.jpg	Lake 12.jpg	2	2	6	35	9.883877e-03
Cliff diver 1.jpg	Fire hydrant 2.jpg	Dog 13.jpg	Office supplies 1.jpg	2	3	7	36	5.633972e-01
Cotton swabs 2.jpg	KKK rally 1.jpg	Sunset 4.jpg	Sunset 3.jpg	1	3	3	32	1.250073e-01
Lake 12.jpg	Sunset 3.jpg	Dead bodies 1.jpg	Gazing 7.jpg	1	1	7	36	1.447772e-01
Dirt 5.jpg	Fire hydrant 2.jpg	Street 4.jpg	Beach 2.jpg	1	2	3	32	1.500058e+00
Nature 1.jpg	Feces 1.jpg	Injury 1.jpg	Fence 4.jpg	1	4	5	34	1.494124e+00
Bar 2.jpg	Dog 13.jpg	Dog 19.jpg	Fire hydrant 2.jpg	1	2	5	34	5.724939e-01
Dead bodies 1.jpg	Heart 1.jpg	Injury 1.jpg	Wedding 12.jpg	1	3	2	31	5.209617e-01
Injury 1.jpg	Cat 10.jpg	Fence 4.jpg	Fire hydrant 2.jpg	1	3	1	30	1.159103e+00
Cliff diver 1.jpg	Dog 13.jpg	Heart 1.jpg	Wedding 12.jpg	1	2	7	36	2.569902e-01
Lake 14.jpg	Fire hydrant 2.jpg	Spider 2.jpg	Nature 1.jpg	1	2	6	35	9.846432e-01
Dog 13.jpg	Fire hydrant 2.jpg	Office supplies 1.jpg	Nature 1.jpg	1	2	5	34	1.703846e+00
Gazing 7.jpg	Injury 4.jpg	Alcohol 5.jpg	Beach 2.jpg	1	5	3	32	7.605882e-01
Alcohol 5.jpg	Injury 1.jpg	Lake 14.jpg	Dead bodies 1.jpg	1	4	1	30	2.324193e-02
Tumor 1.jpg	Spider 2.jpg	Severed finger 1.jpg	Wedding 12.jpg	1	5	1	30	1.155923e+00
Injury 4.jpg	Heart 1.jpg	Street 4.jpg	Bored pose 1.jpg	1	1	1	30	1.684258e-02
Fire hydrant 2.jpg	Sunset 4.jpg	Lake 12.jpg	Lake 15.jpg	1	5	7	36	3.457411e-01
Feces 2.jpg	Lake 12.jpg	KKK rally 1.jpg	Heart 1.jpg	1	1	3	32	1.858540e+00
Wedding 12.jpg	Lake 9.jpg	Fence 4.jpg	Bored pose 1.jpg	1	3	3	32	7.823775e-01
Fence 4.jpg	Cliff diver 1.jpg	Bored pose 1.jpg	Feces 1.jpg	1	3	3	32	9.051522e-01
Feces 1.jpg	KKK rally 1.jpg	Fire hydrant 2.jpg	Sunset 4.jpg	1	4	2	31	1.709269e-01
Fence 2.jpg	Alcohol 5.jpg	Cliff diver 1.jpg	Beach 2.jpg	1	2	4	33	1.515559e-01
Tumor 1.jpg	Lake 14.jpg	Beach 2.jpg	Office supplies 1.jpg	1	2	1	30	1.381264e+00
Heart 1.jpg	Feces 2.jpg	Cliff diver 1.jpg	Fence 4.jpg	1	4	4	33	9.377846e-01
Lake 9.jpg	Fence 4.jpg	Spider 2.jpg	Sunset 3.jpg	1	3	5	34	8.309562e-02
KKK rally 1.jpg	Lake 14.jpg	Cat 10.jpg	Lake 15.jpg	1	4	3	32	3.510342e-01
Cat 10.jpg	Tumor 1.jpg	Dirt 5.jpg	Cliff diver 1.jpg	1	1	3	32	1.304845e-01
Office supplies 1.jpg	Dead bodies 1.jpg	Fence 2.jpg	Cotton swabs 2.jpg	1	5	1	30	6.738483e-01
Sunset 3.jpg	Bar 2.jpg	Lake 9.jpg	Injury 1.jpg	1	2	3	32	2.194612e-01
Street 4.jpg	Heart 1.jpg	Dog 13.jpg	Beach 2.jpg	1	4	4	33	2.187191e+00
Goat 2.jpg	Lake 12.jpg	Bored pose 1.jpg	Cliff diver 1.jpg	1	1	5	34	9.449011e-01
Fire hydrant 2.jpg	Dog 19.jpg	Severed finger 1.jpg	Sunset 3.jpg	1	3	4	33	1.268052e+00
Bored pose 1.jpg	Fire hydrant 2.jpg	Gazing 7.jpg	Tumor 1.jpg	1	4	3	32	1.642355e-02
